Dish Name,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),Cholesterol (mg),Serving Unit,Serving Weight (g),Calories per Serving,Protein per Serving (g)
Fermented bamboo shoot pickle (Mesu pickle),59.83,1.73,1.58,5.59,0.29,2.24,161.31,16.62,0.69,19.87,23.14,0.0,100g portion,100,59.8,1.6
Sweet peach pickle (Aadoo ka achaar),144.64,37.01,0.46,0.2,36.46,1.32,33.04,11.99,0.33,7.36,8.5,0.0,100g portion,100,144.6,0.5
Pickled mustard greens ,13.12,1.05,1.51,0.22,0.02,1.7,242.36,81.44,1.22,301.6,550.52,0.0,100g portion,100,13.1,1.5
Small onion pickle ,16.86,2.76,1.65,0.64,2.99,1.09,249.48,31.95,1.2,19.37,16.9,0.0,100g portion,100,16.9,1.6
Green tomato pickle (Haray tamatar ka achaar),193.26,2.87,1.23,19.67,0.77,1.74,159.18,14.22,0.77,8.21,7.15,0.0,100g portion,100,193.3,1.2
Pickled cabbage ,13.69,2.56,0.39,0.14,2.08,0.61,121.39,15.96,0.19,16.63,23.56,0.0,100g portion,100,13.7,0.4
Coconut pickle (Nariyal ka aachar),517.26,11.53,3.02,51.71,8.98,6.35,176.54,44.78,2.62,1.71,5.56,0.0,100g portion,100,517.3,3.0
Potato pickle (Aloo ka achaar),369.14,7.87,2.07,36.46,0.82,2.21,213.73,48.46,1.12,10.14,8.16,0.0,100g portion,100,369.1,2.1
Mango murabba candy,293.35,77.32,0.27,0.05,74.73,0.95,13.71,16.55,0.33,19.85,5.7,0.0,100g portion,100,293.4,0.3
Afghani chicken,151.51,1.95,15.66,9.07,0.83,0.31,87.02,35.14,1.04,3.54,20.52,42.14,1 serving (2-3 pcs),200,303.0,31.3
Fish orly,563.7,4.27,5.87,58.18,0.24,0.33,136.37,9.55,0.31,1.35,12.83,11.78,100g portion,100,563.7,5.9
Hariyali Fish Tikka,150.24,2.21,14.01,9.41,0.83,0.99,100.45,34.86,0.83,11.11,26.78,43.28,100g portion,100,150.2,14.0
Chicken manchurian,142.34,6.06,9.53,11.96,0.9,0.41,2414.77,26.52,1.28,10.37,45.99,37.88,1 serving (2-3 pcs),200,284.7,19.1
Handi chicken,166.02,1.49,12.32,12.46,0.75,0.67,75.64,26.85,0.93,1.47,20.46,33.71,1 serving (2-3 pcs),200,332.0,24.6
Lemon chicken,169.79,0.55,20.2,9.66,0.16,0.16,79.93,17.4,0.95,8.94,31.21,60.15,1 serving (2-3 pcs),200,339.6,40.4
Lemon butter fish,160.25,0.75,16.38,10.26,0.23,0.36,187.72,18.66,0.4,8.7,19.1,46.11,100g portion,100,160.2,16.4
Baked eggs in tomato sauce,80.05,3.78,4.92,5.22,2.03,0.01,188.21,71.94,1.31,245.7,317.88,77.26,100g portion,100,80.0,4.9
Egg in a pepper,128.78,0.17,12.64,8.68,0.05,0.17,183.89,48.25,1.76,33.6,290.24,345.88,100g portion,100,128.8,12.6
Spinach mushroom scrambled egg (Palak mushroom bhurji),158.85,0.59,13.28,11.51,0.1,0.39,227.97,140.31,1.6,2.27,54.24,276.56,100g portion,100,158.8,13.3
Corn omelette/omlet,166.93,1.57,11.37,12.89,0.41,0.02,166.42,96.22,1.34,2.9,81.65,253.36,100g portion,100,166.9,11.4
Cajun chicken,184.94,1.94,12.69,13.99,1.1,0.89,1740.13,156.98,0.53,45.44,44.55,39.32,1 serving (2-3 pcs),200,369.9,25.4
Paaner do pyaza,127.7,3.41,4.22,10.87,2.2,0.84,160.66,57.22,0.45,16.81,35.64,15.07,100g portion,100,127.7,4.2
Cabbage manchurian (Pattagobhi manchurian),224.26,4.85,0.64,22.48,0.33,0.37,75.02,3.18,0.2,28.39,30.24,0.18,100g portion,100,224.3,0.6
Gobi 65,278.29,3.59,0.56,29.11,0.29,0.57,69.22,12.37,0.3,27.52,37.66,0.29,100g portion,100,278.3,0.6
Paneer lababdar,105.48,3.37,3.98,8.46,1.96,1.16,142.45,55.56,0.56,27.48,56.6,7.19,1 katori (bowl),150,158.2,6.0
Roasted cauliflower steak,78.68,2.02,2.05,6.7,0.44,3.53,120.19,24.47,0.95,47.14,46.0,0.0,1 cup,150,118.0,3.1
Sauteed radishes with green beans,94.32,6.04,2.41,6.61,1.78,3.52,65.1,40.2,1.01,6.55,45.89,7.44,100g portion,100,94.3,2.4
Garlic chutney/Poondu chutney (Lahasun ki chutney),255.51,20.44,3.34,17.55,13.36,5.15,177.62,63.51,3.26,5.7,16.82,0.0,100g portion,100,255.5,3.3
Schezwan chutney,205.19,10.79,3.33,17.72,5.66,5.72,486.27,35.46,1.96,26.36,159.08,0.79,100g portion,100,205.2,3.3
Onion chutney (Pyaaz ki chutney/Vengaya chutney),143.94,13.52,2.97,8.38,6.8,4.6,256.89,28.5,1.19,2.83,17.03,0.0,100g portion,100,143.9,3.0
Dates chutney (Khajoor ki chutney),103.57,21.69,1.07,1.12,18.68,3.41,76.77,28.72,1.19,3.41,17.27,0.0,100g portion,100,103.6,1.1
Chicken salad,338.19,1.3,15.33,30.26,0.96,2.0,50.62,43.19,1.23,4.92,35.5,47.62,1 serving (2-3 pcs),200,676.4,30.7
Macaroni salad,262.19,21.63,5.02,17.78,3.73,0.56,163.99,35.7,0.77,22.15,34.69,58.64,100g portion,100,262.2,5.0
Cabbage raita (Pattagobhi raita),84.84,5.25,3.24,5.76,4.21,0.93,125.31,118.49,0.19,28.29,53.73,16.26,100g portion,100,84.8,3.2
