Dish Name,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),Cholesterol (mg),Serving Unit,Serving Weight (g),Calories per Serving,Protein per Serving (g)
Hot tea (Garam Chai),16.14,2.58,0.39,0.53,2.58,0.0,3.12,14.2,0.02,0.5,1.8,0.0,1 cup,150,24.2,0.6
Instant coffee,23.16,3.65,0.64,0.75,3.62,0.0,4.92,20.87,0.06,1.51,5.6,0.0,1 cup,150,34.7,1.0
Espreso coffee,51.54,6.62,1.75,2.14,6.53,0.0,13.98,58.1,0.15,1.51,5.53,0.0,1 cup,150,77.3,2.6
Iced tea,10.34,2.7,0.03,0.01,2.7,0.0,0.23,1.18,0.02,5.95,1.28,0.0,1 cup,150,15.5,0.0
Raw mango drink (Aam panna),35.92,9.05,0.16,0.03,7.49,0.61,79.82,7.08,0.14,45.3,14.05,0.0,100g portion,100,35.9,0.2
Fruit Punch (with fresh juices),36.12,9.38,0.14,0.03,9.25,0.06,2.63,5.07,0.1,41.44,24.57,0.0,1 glass,250,90.3,0.4
Fruit Punch (with squashes),23.13,5.99,0.07,0.02,5.88,0.17,2.26,3.3,0.06,15.08,9.13,0.0,100g portion,100,23.1,0.1
Lemonade,20.8,5.48,0.03,0.01,5.47,0.02,28.52,1.84,0.05,5.27,2.11,0.0,100g portion,100,20.8,0.0
Lem-o-gin,21.52,5.55,0.08,0.03,5.38,0.13,28.13,2.2,0.09,5.68,2.92,0.0,100g portion,100,21.5,0.1
Cumin infused water (Jeere/Zeere ka pani),9.09,1.86,0.17,0.11,1.46,0.46,189.6,10.84,0.32,3.61,3.14,0.0,100g portion,100,9.1,0.2
Coco pine cooler,32.75,5.72,0.56,1.0,5.52,0.26,23.2,17.81,0.13,10.67,12.64,3.4,100g portion,100,32.8,0.6
Summer cooler,22.43,5.43,0.37,0.04,5.21,0.2,1.57,8.13,0.28,103.5,63.89,0.0,100g portion,100,22.4,0.4
Hot cocoa,90.1,9.23,3.36,4.56,9.01,0.0,24.2,113.66,0.31,3.62,13.79,0.0,100g portion,100,90.1,3.4
Cold coffee with ice cream,67.85,11.24,1.57,2.11,11.18,0.01,13.84,53.29,0.12,2.53,9.49,1.17,1 cup,150,101.8,2.4
Banana milkshake (Kele milkshake),65.31,9.15,1.84,2.37,7.96,0.26,13.61,62.64,0.13,6.84,19.83,0.0,1 glass,250,163.3,4.6
Mango milkshake (Aam milkshake),56.9,7.23,1.73,2.35,7.15,0.26,13.27,62.33,0.15,20.1,53.68,0.0,1 glass,250,142.2,4.3
Pineapple milkshake (Ananas milkshake),55.72,7.62,1.66,2.23,7.6,0.0,14.05,59.92,0.11,10.22,17.45,0.0,1 glass,250,139.3,4.2
Orange milkshake (Narangi milkshake),57.42,7.11,1.86,2.52,7.08,0.0,14.63,67.42,0.11,10.82,16.85,0.0,1 glass,250,143.6,4.6
Egg nog,97.14,8.15,4.78,5.11,8.06,0.02,40.65,102.13,0.43,4.82,41.91,60.3,100g portion,100,97.1,4.8
Sweet Lassi (Meethi lassi),35.66,6.51,1.29,0.68,6.51,0.0,18.31,45.65,0.03,1.0,18.0,2.49,1 glass,250,89.1,3.2
Lassi (salted),18.84,1.86,1.35,0.72,1.84,0.02,65.4,47.78,0.04,1.02,18.07,2.6,1 glass,250,47.1,3.4
Cheese and chilli sandwich ,218.11,27.4,6.8,9.78,2.38,2.08,437.5,113.79,0.99,12.3,16.14,23.05,1 piece,120,261.7,8.2
Egg sandwich (Ande ka sandwich),285.96,29.16,8.69,15.8,1.86,1.88,461.67,110.13,1.44,0.0,14.92,121.63,1 piece,120,343.2,10.4
Cucumber sandwich (Kheere ka sandwich),188.6,25.77,4.8,8.0,1.64,2.45,362.64,87.84,1.02,1.53,12.96,17.53,1 piece,120,226.3,5.8
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),257.71,29.1,8.2,12.8,4.1,2.33,571.96,199.73,1.04,3.64,12.08,34.35,1 piece,120,309.3,9.8
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),243.32,26.92,7.92,12.27,2.85,1.97,549.71,191.2,1.0,3.16,12.18,32.88,1 piece,120,292.0,9.5
Chicken sandwich,253.27,25.38,13.12,11.75,1.6,1.64,389.67,89.56,1.19,0.0,11.1,42.06,1 serving (2-3 pcs),200,506.5,26.2
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),291.43,28.54,9.53,16.14,2.82,4.03,364.99,94.03,1.58,3.16,22.04,17.53,1 piece,120,349.7,11.4
Rainbow sandwich,272.75,34.26,7.75,12.54,4.05,2.1,612.49,172.04,1.2,1.01,10.38,31.16,1 piece,120,327.3,9.3
Club sandwich ,235.32,18.51,7.31,15.12,2.01,1.81,461.66,115.68,0.86,6.0,17.42,31.26,1 piece,120,282.4,8.8
Vegetarian club sandwich,198.33,19.68,5.45,11.33,2.08,2.06,305.36,122.44,0.77,6.0,17.53,23.13,1 piece,120,238.0,6.5
Pin wheel sandwich,311.52,14.0,8.77,24.93,1.45,0.93,374.39,67.75,1.36,0.0,9.04,179.52,1 piece,120,373.8,10.5
Carrot apple sandwich (Gajar aur seb ka sandwich),214.11,29.04,5.3,9.12,5.3,3.66,302.88,118.05,1.8,2.7,21.7,21.05,1 piece,120,256.9,6.4
Salami sandwich,255.59,21.54,8.7,15.51,2.0,1.97,662.75,73.54,1.11,1.25,12.65,33.35,1 piece,120,306.7,10.4
Vegetable and mayonnaise sandwich,244.26,23.2,4.47,15.4,2.35,2.35,342.7,79.53,0.91,12.9,17.05,21.87,1 piece,120,293.1,5.4
Egg and tomato sandwich (Ande aur tamatar ka sandwich),222.11,25.9,7.66,10.51,2.09,1.77,423.26,95.71,1.3,1.98,16.33,95.63,1 piece,120,266.5,9.2
Sweet open sandwich,244.25,39.24,4.99,8.15,12.23,2.36,205.27,85.18,1.15,1.65,13.05,18.05,1 piece,120,293.1,6.0
Mushroom and cheese sandwich (toasted),227.42,21.01,7.79,13.01,2.11,2.28,456.57,172.35,0.84,0.0,12.7,35.12,1 piece,120,272.9,9.3
Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),224.58,21.42,6.82,12.95,2.67,1.78,457.94,169.22,0.82,6.32,14.48,35.12,1 piece,120,269.5,8.2
Pea potato sandwich (toasted) (Matar aloo ka sandwich),164.9,25.17,4.6,5.43,1.33,2.89,262.63,64.15,1.11,14.11,21.01,0.0,1 piece,120,197.9,5.5
Paneer pea sandwich (toasted) (Paneer matar ka sandwich),249.56,24.05,12.4,11.98,6.4,2.12,268.9,274.1,1.26,4.85,52.13,0.0,1 katori (bowl),150,374.3,18.6
Chicken sandwich (toasted),167.37,18.82,12.08,5.32,2.13,1.64,327.55,99.99,0.99,12.97,20.71,26.57,1 serving (2-3 pcs),200,334.7,24.2
Pea keema sandwich (toasted) (Matar aur keema ka sandwich),171.78,20.26,11.06,5.61,1.94,2.45,290.07,70.79,1.51,5.5,18.29,27.29,1 piece,120,206.1,13.3
Classic club sandwich,200.83,18.49,6.74,11.56,1.86,1.62,277.49,107.73,1.09,16.19,56.9,62.87,1 glass,250,502.1,16.8
Sesame toast,495.19,11.15,1.9,49.38,1.46,1.32,128.78,43.44,0.72,6.92,8.87,0.0,100g portion,100,495.2,1.9
Cracked wheat porridge (Meetha daliya),81.57,8.87,2.64,4.08,5.12,0.62,15.89,75.88,0.32,5.03,17.58,0.0,1 katori (bowl),150,122.4,4.0
Semolina porridge (Suji/Rava daliya),100.89,12.39,3.75,4.08,7.54,0.7,23.21,108.52,0.36,5.03,22.71,0.0,1 katori (bowl),150,151.3,5.6
Oatmeal Porridge,72.85,8.77,2.6,3.22,5.2,0.39,16.14,76.83,0.28,5.03,23.98,0.02,100g portion,100,72.8,2.6
Cornflakes with milk,117.33,14.95,3.59,5.12,9.97,0.78,26.55,106.47,0.42,4.82,43.87,0.0,1 glass,250,293.3,9.0
Rice flakes (Chiwda/Aval),112.44,15.57,3.62,3.99,7.28,0.37,22.4,103.15,0.62,4.82,19.41,0.0,1 medium bowl,175,196.8,6.3
Wheat flakes,112.44,15.57,3.62,3.99,7.28,0.37,22.4,103.15,0.62,4.82,19.41,0.0,100g portion,100,112.4,3.6
Murmura (Puffed rice),113.32,15.67,3.62,4.04,7.31,0.28,22.52,103.79,0.63,4.82,16.87,0.0,1 medium bowl,175,198.3,6.3
Puffed wheat (Murmure/Moori),113.32,15.67,3.62,4.04,7.31,0.28,22.52,103.79,0.63,4.82,16.87,0.0,100g portion,100,113.3,3.6
Boiled egg (Ubla anda),45.35,0.12,4.43,3.04,0.0,0.11,170.94,17.75,0.64,0.0,24.77,121.19,100g portion,100,45.4,4.4
Fried Egg ,223.67,0.31,11.59,19.62,0.0,0.29,446.96,46.4,1.69,0.0,24.77,316.88,100g portion,100,223.7,11.6
Poached egg,123.87,0.37,11.98,8.19,0.05,0.3,1163.07,48.24,1.75,0.0,24.77,326.79,100g portion,100,123.9,12.0
Scrambled egg (Ande ki bhurji),155.97,1.35,10.29,12.21,1.08,0.24,374.66,64.59,1.42,0.3,25.82,273.6,100g portion,100,156.0,10.3
Baked egg ,218.85,15.42,11.88,12.65,1.66,1.03,523.29,164.05,1.48,0.0,35.72,204.36,100g portion,100,218.8,11.9
Plain omelette/omlet,272.41,0.64,9.66,25.74,0.51,0.12,226.18,48.4,1.35,0.3,50.48,255.94,100g portion,100,272.4,9.7
Stuffed egg omelette/omlet,203.51,2.3,8.6,17.77,1.57,0.75,267.19,89.91,0.91,8.29,70.23,154.38,100g portion,100,203.5,8.6
Pancake,203.36,20.49,5.68,10.82,3.32,0.65,143.7,79.49,0.69,0.5,5.43,35.93,1 slice,80,162.7,4.5
Keema pancake,176.27,9.56,9.01,11.25,2.2,0.84,125.4,40.96,0.93,4.64,12.23,46.43,1 slice,80,141.0,7.2
Vegetable pancake,125.18,12.24,3.87,6.57,2.09,2.48,116.69,42.89,0.79,20.63,28.57,19.32,1 slice,80,100.1,3.1
Jam and fruit pancake,162.02,20.73,3.79,7.01,7.85,1.21,93.09,54.06,0.52,6.48,8.42,23.09,1 slice,80,129.6,3.0
Khoa and coconut pancake,271.98,27.32,6.98,15.29,16.47,1.65,101.0,157.22,1.12,0.73,19.12,21.35,1 slice,80,217.6,5.6
Brown stock,21.32,0.25,1.95,1.38,0.14,0.09,44.6,17.16,0.3,1.5,6.33,0.0,100g portion,100,21.3,2.0
Vegetable stock,17.6,0.96,0.3,1.38,0.44,0.38,49.75,5.08,0.12,7.58,13.92,3.46,100g portion,100,17.6,0.3
Chicken stock,29.88,0.37,3.69,1.51,0.2,0.1,58.58,3.57,0.18,0.84,10.19,10.23,1 serving (2-3 pcs),200,59.8,7.4
Clear tomato soup (Tamatar ka soup),80.07,3.45,4.79,12.22,1.44,1.96,5135.74,29.05,1.14,53.16,43.91,0.0,100g portion,100,80.1,4.8
Lentil soup,31.17,3.94,9.65,11.68,1.06,2.57,10418.84,40.57,2.26,17.9,34.92,2.19,100g portion,100,31.2,9.6
Chicken consomme (Clear chicken soup),47.94,1.19,11.47,12.02,0.54,1.57,8953.64,35.48,1.82,2.1,11.38,17.0,1 serving (2-3 pcs),200,95.9,22.9
Cream of tomato soup,97.81,3.93,4.61,13.12,1.81,1.38,4461.22,39.61,0.95,53.23,44.01,5.47,100g portion,100,97.8,4.6
Cream of green peas soup,127.84,6.75,7.13,14.78,1.61,2.95,4999.7,51.01,1.48,52.28,88.58,6.19,100g portion,100,127.8,7.1
Cream of spinach soup,100.54,3.45,5.21,13.31,1.13,1.74,4429.81,70.77,2.1,63.34,298.06,5.47,100g portion,100,100.5,5.2
Cream of mixed vegetable soup,59.65,4.93,6.84,9.05,2.1,2.14,5655.45,65.26,1.36,39.02,54.46,7.05,100g portion,100,59.6,6.8
Cream of mushroom soup,117.28,3.74,6.64,15.5,1.93,1.34,5276.06,70.56,1.81,5.79,30.72,6.74,100g portion,100,117.3,6.6
Chicken sweet corn soup,28.32,1.63,14.48,12.59,0.27,0.47,12205.33,91.5,3.83,2.02,13.45,6.37,1 serving (2-3 pcs),200,56.6,29.0
Minestrone soup,42.66,3.71,9.3,11.09,1.01,1.92,8875.06,53.55,1.82,19.43,23.24,3.7,100g portion,100,42.7,9.3
Egg drop soup,26.64,1.1,12.93,13.52,0.6,0.81,12418.84,100.14,3.93,8.51,28.19,31.67,100g portion,100,26.6,12.9
Chinese cabbage and meat ball soup,484.31,1.43,5.21,56.57,0.37,0.57,4249.41,41.07,1.52,16.72,20.33,5.83,100g portion,100,484.3,5.2
French onion soup,55.61,4.28,11.41,14.39,1.5,1.01,11202.89,106.22,3.52,5.35,24.85,10.59,100g portion,100,55.6,11.4
Hot and sour soup,31.51,1.78,3.12,1.31,0.66,0.6,163.26,10.68,0.43,24.59,39.83,17.91,100g portion,100,31.5,3.1
Talaumein soup,35.63,4.17,10.12,12.78,0.77,1.94,11088.14,42.33,2.23,12.62,48.58,12.4,100g portion,100,35.6,10.1
Cold cucumber soup (Thanda kheere ka soup),48.03,4.58,2.99,1.99,3.34,0.88,121.32,99.79,0.32,5.05,27.42,7.06,1 small bowl,150,72.0,4.5
Cold summer garden soup,49.19,2.65,8.57,14.08,0.46,1.86,9919.62,43.93,2.13,16.3,43.26,10.12,100g portion,100,49.2,8.6
Chapati/Roti,202.31,35.65,5.88,3.56,1.0,6.31,1.16,17.22,2.28,0.0,5.84,6.83,1 medium piece,40,80.9,2.4
Plain parantha/paratha,298.3,30.69,5.06,16.86,0.86,5.43,62.07,14.81,1.98,0.0,7.79,0.0,1 piece,80,238.6,4.0
Potato parantha/paratha (Aloo ka parantha/paratha),205.04,23.92,3.7,10.22,1.15,4.18,127.2,17.38,1.52,7.98,14.96,0.0,1 piece,80,164.0,3.0
Radish parantha/paratha (Mooli ka parantha/paratha),183.52,20.54,3.3,9.53,1.31,4.32,127.03,23.75,1.39,8.44,20.74,0.0,1 piece,80,146.8,2.6
Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),178.07,18.84,3.73,9.47,1.15,4.68,190.03,22.0,1.59,17.61,26.32,0.0,1 piece,80,142.5,3.0
Dal parantha/paratha,268.24,30.03,6.78,13.05,1.43,6.46,156.13,23.89,2.45,1.8,29.02,0.0,1 piece,80,214.6,5.4
Sprouted moong parantha/paratha,228.59,24.31,4.29,12.43,1.47,4.49,153.94,20.33,1.94,2.0,12.52,0.0,1 piece,80,182.9,3.4
Pea parantha/paratha (Matar ka parantha/paratha),190.73,21.51,5.59,8.8,1.29,5.61,109.99,23.49,1.78,17.8,33.64,0.0,1 piece,80,152.6,4.5
Keema parantha/paratha,238.09,18.36,9.41,13.91,0.99,3.44,140.62,19.35,1.8,1.8,11.49,25.66,1 piece,80,190.5,7.5
Paneer parantha/paratha,262.97,24.33,7.98,14.62,3.77,4.0,142.52,127.65,1.7,1.69,29.0,0.0,1 piece,80,210.4,6.4
Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),216.49,21.39,5.54,12.09,1.31,4.39,177.19,33.07,1.85,6.65,50.53,0.0,1 piece,80,173.2,4.4
Poori,737.63,8.22,1.35,77.61,0.23,1.46,31.73,3.98,0.6,0.0,4.68,1.58,1 piece,25,184.4,0.3
Spinach poori (Palak poori),684.25,7.76,1.42,71.86,0.24,1.55,35.47,10.02,0.79,3.03,18.9,1.46,1 piece,25,171.1,0.4
Methi poori,710.02,7.98,1.45,74.6,0.26,1.61,35.37,14.61,0.81,2.91,8.47,1.51,1 piece,25,177.5,0.4
Dal stuffed poori,785.16,10.14,2.08,81.69,0.29,1.96,128.18,6.88,0.83,0.42,7.65,1.66,1 piece,25,196.3,0.5
Potato stuffed poori (Aloo ki poori),776.74,9.4,1.52,81.35,0.26,1.64,69.86,5.57,0.7,1.39,5.63,1.65,1 piece,25,194.2,0.4
Tandoori parantha/paratha,295.37,30.74,5.08,16.51,0.86,5.44,1.14,14.98,1.96,0.0,7.79,39.77,1 piece,80,236.3,4.1
Boiled rice (Uble chawal),117.19,25.72,2.6,0.18,0.22,1.25,1.05,2.7,0.24,0.0,9.75,0.0,1 medium bowl,175,205.1,4.6
Plain pulao,140.21,21.82,2.34,4.62,1.15,1.69,193.76,12.76,0.41,3.42,22.63,0.0,1 medium bowl,200,280.4,4.7
Mixed vegetable pulao,113.05,17.49,2.72,3.33,1.35,2.67,187.92,19.61,0.6,26.15,80.63,0.0,1 medium bowl,200,226.1,5.4
Mushroom pulao,124.29,19.02,2.52,4.03,1.0,1.88,222.36,13.54,0.39,3.42,26.77,0.0,1 medium bowl,200,248.6,5.0
Sprouted moong pulao,112.97,17.49,2.19,3.61,1.43,1.78,153.16,16.26,0.65,7.53,43.15,0.0,1 medium bowl,200,225.9,4.4
Paneer pulao,581.91,8.76,1.98,59.81,1.11,0.62,72.28,33.09,0.26,3.42,69.28,0.0,1 katori (bowl),150,872.9,3.0
Peanut pulao ,193.28,21.18,5.32,9.51,1.6,2.9,168.4,18.52,0.83,3.42,68.06,0.0,1 medium bowl,200,386.6,10.6
Navratan pulao,261.71,36.98,6.2,9.45,2.52,3.82,334.26,59.61,1.1,12.89,46.97,0.0,1 medium bowl,200,523.4,12.4
Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),173.43,27.57,4.88,4.82,2.48,3.15,170.05,18.94,0.95,5.43,301.13,0.0,1 medium bowl,200,346.9,9.8
Mutton biryani/biriyani,190.76,22.5,7.38,7.72,2.39,2.42,262.64,68.58,1.29,10.28,30.07,0.4,1 serving (2-3 pcs),200,381.5,14.8
Vegetable biryani/biriyani,174.61,18.56,3.16,9.51,2.14,3.31,183.79,33.52,0.86,39.35,77.54,0.27,1 plate,350,611.1,11.1
"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",176.3,21.62,4.26,7.88,0.78,2.52,187.11,12.7,0.77,10.2,38.01,0.0,1 medium bowl,175,308.5,7.5
Sweet rice (Meethe chawal),215.41,42.59,2.1,4.57,24.8,1.13,3.2,11.38,0.34,0.21,10.65,9.55,1 medium bowl,175,377.0,3.7
Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),195.74,32.93,5.75,4.32,3.91,2.13,213.29,101.52,0.59,5.1,28.24,3.12,1 medium bowl,175,342.5,10.1
Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),373.04,65.08,7.45,8.53,11.65,5.12,162.41,50.94,2.89,0.84,23.02,7.7,1 medium bowl,175,652.8,13.0
Spanish rice,164.24,31.1,4.19,2.23,1.26,2.78,96.61,18.93,0.92,48.66,54.48,0.0,1 medium bowl,175,287.4,7.3
Chinese fried rice,120.58,13.4,4.05,5.43,1.47,2.31,248.36,34.7,0.99,67.39,136.83,52.09,1 medium bowl,175,211.0,7.1
Macroni cheese pie,170.63,21.1,5.85,7.48,3.4,0.4,200.51,122.01,0.54,14.65,28.19,15.99,100g portion,100,170.6,5.8
Vegetable chowmein,129.71,15.44,3.07,6.36,1.97,1.86,258.47,28.33,0.99,85.39,99.36,0.0,100g portion,100,129.7,3.1
Chicken chowmein,151.33,13.3,6.33,8.23,1.63,1.64,288.15,26.1,0.89,84.96,102.27,10.73,1 serving (2-3 pcs),200,302.7,12.7
Cheese noodle ring,133.67,13.96,6.22,6.12,2.84,1.27,241.96,99.3,0.79,24.19,94.77,55.67,100g portion,100,133.7,6.2
Spaghetti and cheese balls in tomato sauce,508.32,7.82,2.41,52.08,1.83,0.59,104.14,40.59,0.32,57.67,115.96,3.83,100g portion,100,508.3,2.4
Penne platter,177.4,20.87,5.04,8.71,4.5,1.09,283.37,67.67,0.9,16.35,60.2,2.29,100g portion,100,177.4,5.0
Pasta hot pot,125.17,11.6,5.84,6.47,5.99,0.8,231.17,55.28,0.82,58.74,111.3,27.19,100g portion,100,125.2,5.8
Chicken lasagne,187.49,13.9,10.45,10.36,2.74,0.11,238.55,119.98,0.64,4.23,61.02,50.38,1 serving (2-3 pcs),200,375.0,20.9
Fettuccine with spinach sauce,129.21,12.19,3.1,7.83,1.18,0.77,153.59,53.67,1.28,38.37,170.92,10.29,100g portion,100,129.2,3.1
Naan,286.45,51.75,8.05,4.99,5.59,1.91,326.11,88.01,1.29,0.23,7.56,10.15,1 piece,80,229.2,6.4
Bhatura,793.2,10.73,1.63,82.56,0.69,0.38,28.3,12.12,0.33,0.05,4.15,0.38,100g portion,100,793.2,1.6
Idli,137.54,28.18,4.64,0.33,0.28,2.31,100.83,8.0,0.68,0.0,2.95,0.0,1 piece,60,82.5,2.8
Masala dosa,164.58,19.57,3.29,7.84,1.33,2.52,191.28,15.58,0.79,14.14,35.76,0.0,1 medium piece,120,197.5,3.9
Semolina dosa (Suji/Rava dosa),227.05,32.84,7.3,7.12,4.37,4.04,202.36,116.04,1.39,2.28,15.86,4.59,1 medium piece,120,272.5,8.8
Onion tomato uttapam,462.02,11.32,1.91,45.3,0.8,1.26,143.53,5.82,0.36,4.78,11.68,0.0,100g portion,100,462.0,1.9
Paneer kaathi roll,285.94,20.1,6.92,19.55,3.29,2.4,221.03,101.66,1.42,18.67,54.04,30.84,1 katori (bowl),150,428.9,10.4
Makki ki roti,263.97,24.19,3.49,16.85,0.7,5.19,236.22,14.76,1.11,1.99,10.72,39.07,1 medium piece,40,105.6,1.4
Washed moong dal (Dhuli moong ki dal),50.0,5.91,2.68,1.68,0.12,1.17,150.64,8.48,0.64,0.04,27.98,0.0,1 katori (bowl),150,75.0,4.0
Washed urad dal (Dhuli urad ki dal),61.32,5.84,2.51,2.98,0.32,1.53,142.21,10.24,0.72,0.99,30.4,0.0,1 katori (bowl),150,92.0,3.8
Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),73.25,7.1,2.79,3.6,1.05,2.72,149.47,14.33,0.99,15.2,90.42,0.0,1 katori (bowl),150,109.9,4.2
Dry washed urad,124.71,15.66,6.85,3.5,0.73,4.06,295.79,27.08,1.89,1.46,40.3,0.0,100g portion,100,124.7,6.8
Mixed dal,61.93,5.79,2.51,3.1,0.34,1.62,141.36,11.0,0.78,1.1,40.35,0.0,1 katori (bowl),150,92.9,3.8
Whole moong (Moong ki dal),53.7,5.22,2.25,2.56,0.59,2.02,123.86,13.58,0.68,11.04,55.37,0.0,1 katori (bowl),150,80.6,3.4
Whole masoor (Masoor ki dal),54.05,5.37,2.28,2.52,0.67,1.98,123.72,12.2,0.95,11.04,48.17,0.0,1 katori (bowl),150,81.1,3.4
Whole moth (Moth ki dal),55.0,5.74,2.01,2.62,0.66,1.85,125.08,18.98,0.95,11.04,116.57,0.0,1 katori (bowl),150,82.5,3.0
Whole urad (Urad ki dal),53.8,5.05,2.21,2.62,0.57,2.32,126.12,13.07,0.78,10.28,51.6,0.0,1 katori (bowl),150,80.7,3.3
Moti mahal dal (Urad rajmah mix dal),103.13,8.74,3.93,5.66,1.7,3.38,157.61,38.13,1.05,15.45,93.14,1.92,1 katori (bowl),150,154.7,5.9
Black channa curry/Bengal gram curry (Kale chane ki curry),140.68,14.11,5.67,6.61,2.36,7.99,358.63,53.87,2.43,15.13,87.38,0.0,1 katori (bowl),175,246.2,9.9
Chickpeas curry (Safed channa curry),163.43,19.98,6.1,6.84,4.78,4.73,357.99,30.61,1.82,16.33,184.58,0.0,1 katori (bowl),175,286.0,10.7
Lobia curry,148.99,17.88,6.06,5.62,2.51,4.57,355.41,36.8,2.21,15.13,86.78,0.0,1 katori (bowl),175,260.7,10.6
Soyabean curry,163.28,6.76,10.43,10.19,2.66,7.34,352.69,65.13,2.79,15.13,103.88,0.0,1 katori (bowl),175,285.7,18.3
Kidney bean curry (Rajmah curry),143.73,16.38,5.95,5.77,2.49,5.83,354.6,47.87,2.27,16.33,112.28,0.0,1 katori (bowl),175,251.5,10.4
Sambar,96.92,10.57,3.35,4.38,3.31,3.52,159.54,30.24,1.24,20.35,68.19,0.0,1 katori (bowl),150,145.4,5.0
Besan kadhi with pakodies,403.35,3.56,1.64,42.59,0.88,0.81,60.8,24.53,0.38,4.17,77.03,0.94,100g portion,100,403.4,1.6
Khatta channa,202.57,21.14,6.3,10.56,4.75,5.26,513.32,40.77,1.94,20.89,244.23,0.0,100g portion,100,202.6,6.3
Sprouted moong dal chat,32.47,6.01,1.35,0.32,1.57,1.35,87.07,16.54,0.88,38.78,43.12,0.0,1 katori (bowl),150,48.7,2.0
Potato cauliflower (Aloo gobhi),106.18,5.99,1.9,8.13,0.44,3.02,254.76,22.87,1.07,61.11,55.94,0.0,100g portion,100,106.2,1.9
Potato capsicum (Shimla mirch aloo),125.53,8.72,1.41,9.33,0.54,2.02,277.92,16.45,0.86,81.26,39.8,0.0,100g portion,100,125.5,1.4
Cabbage and peas (Pattagobhi aur matar),63.88,6.24,3.24,2.64,0.97,3.99,253.73,45.5,1.1,54.84,75.95,0.0,100g portion,100,63.9,3.2
Carrot and fenugreek leaves (Gajar methi),61.92,4.17,2.1,3.81,2.11,4.43,262.91,128.83,2.72,51.83,81.67,0.0,100g portion,100,61.9,2.1
Potato fenugreek (Aloo methi),135.15,8.47,2.25,10.04,0.54,2.93,221.93,107.8,2.53,68.76,73.14,0.0,100g portion,100,135.2,2.2
Brinjal bhartha (Baingan ka bhartha),65.12,4.4,1.38,4.48,1.82,3.27,132.15,17.85,0.48,24.05,92.42,0.0,100g portion,100,65.1,1.4
Dry potato (Sookhe aloo),103.15,14.38,1.62,4.18,0.33,1.88,199.99,17.2,0.83,23.23,15.7,0.0,100g portion,100,103.2,1.6
Beans with coconut (Nariyal aur sem/phali; Beans thoran),131.63,4.39,2.62,11.39,2.06,5.59,271.65,51.92,1.34,6.03,75.87,0.0,100g portion,100,131.6,2.6
Cauliflower with coconut (Nariyal ke saath phoolgobhi),132.11,3.99,2.64,11.56,1.71,5.27,286.06,35.37,1.33,51.79,59.84,0.0,100g portion,100,132.1,2.6
Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),106.61,4.99,1.82,8.62,2.36,4.52,219.6,48.63,0.84,41.01,72.27,0.0,100g portion,100,106.6,1.8
Raw turnip with coconut ,132.15,5.78,1.8,11.47,4.4,2.79,275.55,50.65,0.82,21.65,27.89,0.0,100g portion,100,132.2,1.8
Raw papaya with coconut (Papaya thoran),132.75,5.58,1.54,11.42,3.82,4.31,270.56,33.74,0.82,25.38,43.68,0.0,100g portion,100,132.8,1.5
Stuffed okra (Bharwa bhindi),94.34,3.85,2.08,7.66,0.48,4.15,210.03,86.89,1.18,22.65,63.97,0.0,100g portion,100,94.3,2.1
Stuffed round gourd (Bharwa tinde),72.8,4.02,1.1,5.75,1.96,2.1,180.15,20.21,0.59,37.36,71.07,0.0,100g portion,100,72.8,1.1
Stuffed capsicum (Bharwa shimla mirch),90.94,8.26,1.34,5.7,1.21,2.01,173.94,15.17,0.61,74.25,38.35,0.0,100g portion,100,90.9,1.3
Stuffed brinjal (Bharwa baingan),93.0,3.96,1.53,7.73,0.92,4.09,212.88,24.37,0.75,1.13,17.11,0.0,100g portion,100,93.0,1.5
Stuffed tomatoes (Bharwa tamatar),93.35,6.19,3.28,6.06,2.68,2.2,165.85,59.16,0.62,28.23,37.42,0.0,100g portion,100,93.4,3.3
Pea potato curry (Aloo matar),100.92,9.74,3.48,5.13,1.86,3.61,154.83,21.1,1.02,70.01,88.11,0.0,1 katori (bowl),175,176.6,6.1
Pea paneer curry (Matar paneer),134.83,9.29,6.61,7.75,3.89,3.3,157.34,105.2,1.08,58.44,127.01,0.0,1 katori (bowl),175,236.0,11.6
Pea mushroom curry (Matar mushroom),93.3,7.41,3.87,5.16,1.82,3.86,155.48,22.7,0.97,58.44,84.49,0.0,1 katori (bowl),175,163.3,6.8
